date,cases,deaths
2020-03-18,1,0
2020-03-24,2,0
2020-03-28,3,0
2020-03-30,5,0
2020-04-09,6,0
2020-04-15,10,0
2020-04-19,12,0
2020-04-21,14,0
2020-04-22,16,0
2020-04-23,17,0
2020-04-24,19,0
2020-04-26,20,1
2020-04-27,24,1
2020-04-28,28,1
2020-04-29,33,1
2020-04-30,35,1
2020-05-01,50,1
2020-05-02,58,1
2020-05-03,78,1
2020-05-04,83,1
2020-05-05,87,1
2020-05-06,99,1
2020-05-07,105,1
2020-05-08,121,2
2020-05-09,128,2
2020-05-10,137,3
2020-05-11,146,3
2020-05-12,156,3
2020-05-13,168,4
2020-05-14,180,5
2020-05-15,195,7
2020-05-16,200,8
2020-05-17,219,8
2020-05-18,228,9
2020-05-19,252,11
2020-05-20,262,12
2020-05-21,283,16
2020-05-22,295,16
2020-05-23,301,18
2020-05-24,315,21
2020-05-25,325,23
2020-05-26,350,27
2020-05-27,362,28
2020-05-28,372,33
2020-05-29,387,34
2020-05-30,420,34
2020-05-31,434,40
2020-06-01,446,42
2020-06-02,460,47
2020-06-03,492,50
2020-06-04,504,54
2020-06-05,515,56
2020-06-06,517,56
2020-06-07,525,59
2020-06-08,528,61
2020-06-09,538,61
2020-06-10,552,65
2020-06-11,564,67
2020-06-12,566,68
2020-06-13,573,70
2020-06-14,592,70
2020-06-15,607,72
2020-06-16,619,72
2020-06-17,622,73
2020-06-18,638,75
2020-06-19,641,77
2020-06-20,644,78
2020-06-21,652,79
2020-06-22,653,79
2020-06-23,654,79
2020-06-24,658,80
2020-06-25,661,82
2020-06-26,663,82
2020-06-27,668,83
2020-06-28,673,84
2020-06-29,690,86
2020-06-30,693,87
2020-07-01,698,87
2020-07-02,702,87
2020-07-03,704,89
2020-07-04,706,89
2020-07-05,711,90
2020-07-06,718,94
2020-07-07,721,94
2020-07-08,722,94
2020-07-09,723,94
2020-07-10,725,94
2020-07-11,725,94
2020-07-12,725,94
2020-07-13,726,94
2020-07-14,726,94
2020-07-15,729,97
2020-07-16,733,97
2020-07-17,736,98
2020-07-18,736,98
2020-07-19,738,99
2020-07-20,745,99
2020-07-21,746,99
2020-07-22,746,99
2020-07-23,747,100
2020-07-24,751,101
2020-07-25,752,101
2020-07-26,752,101
2020-07-27,753,101
2020-07-28,756,101
2020-07-29,759,101
2020-07-30,761,101
2020-07-31,763,101
2020-08-01,769,101
2020-08-02,770,101
2020-08-03,770,101
2020-08-04,770,101
2020-08-05,772,103
2020-08-06,773,104
2020-08-07,774,104
2020-08-08,776,104
2020-08-09,778,104
2020-08-10,778,104
2020-08-11,782,104
2020-08-12,786,105
2020-08-13,789,105
2020-08-14,789,105
2020-08-15,789,105
2020-08-16,789,105
2020-08-17,789,105
2020-08-18,789,105
2020-08-19,789,105
2020-08-20,789,106
2020-08-21,791,106
2020-08-22,800,106
2020-08-23,800,106
2020-08-24,800,106
2020-08-25,801,106
2020-08-26,801,106
2020-08-27,803,106
2020-08-28,803,106
2020-08-29,803,106
2020-08-30,806,106
2020-08-31,806,106
2020-09-01,806,106
2020-09-02,807,106
2020-09-03,807,106
2020-09-04,807,106
2020-09-05,807,106
2020-09-06,807,106
2020-09-07,807,106
2020-09-08,808,106
2020-09-09,808,106
2020-09-10,808,106
2020-09-11,808,106
2020-09-12,808,106
2020-09-13,808,106
2020-09-14,808,106
2020-09-15,811,106
2020-09-16,811,106
2020-09-17,811,106
2020-09-18,811,106
2020-09-19,811,106
2020-09-20,811,108
2020-09-21,811,108
2020-09-22,811,108
2020-09-23,812,108
