date,acumulado,muertes
2020-03-22,1,1
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,1
2020-03-29,5,3
2020-03-30,5,0
2020-03-31,7,2
2020-04-01,7,0
2020-04-02,8,1
2020-04-03,12,4
2020-04-04,12,0
2020-04-05,13,1
2020-04-06,14,1
2020-04-07,15,1
2020-04-08,15,0
2020-04-09,17,2
2020-04-10,17,0
2020-04-11,17,0
2020-04-12,18,1
2020-04-13,20,2
2020-04-14,21,1
2020-04-15,22,1
2020-04-16,23,1
2020-04-17,24,1
2020-04-18,28,4
2020-04-19,28,0
2020-04-20,30,2
2020-04-21,32,2
2020-04-22,34,2
2020-04-23,36,2
2020-04-24,37,1
2020-04-25,43,6
2020-04-26,46,3
2020-04-27,49,3
2020-04-28,53,4
2020-04-29,56,3
2020-04-30,57,1
2020-05-01,60,3
2020-05-02,67,7
2020-05-03,78,11
2020-05-04,82,4
2020-05-05,87,5
2020-05-06,91,4
2020-05-07,113,22
2020-05-08,145,32
2020-05-09,190,45
2020-05-10,205,15
2020-05-11,233,28
2020-05-12,251,18
2020-05-13,274,23
2020-05-14,290,16
2020-05-15,314,24
2020-05-16,354,40
2020-05-17,381,27
2020-05-18,408,27
2020-05-19,449,41
2020-05-20,477,28
2020-05-21,523,46
2020-05-22,580,57
2020-05-23,616,36
2020-05-24,646,30
2020-05-25,704,58
2020-05-26,740,36
2020-05-27,828,88
2020-05-28,872,44
2020-05-29,905,33
2020-05-30,950,45
2020-05-31,989,39
2020-06-01,1051,62
2020-06-02,1093,42
2020-06-03,1137,44
2020-06-04,1207,70
2020-06-05,1247,40
2020-06-06,1277,30
2020-06-07,1326,49
2020-06-08,1378,52
2020-06-09,1397,19
2020-06-10,1422,25
2020-06-11,1460,38
2020-06-12,1508,48
2020-06-13,1538,30
2020-06-14,1577,39
2020-06-15,1613,36
2020-06-16,1690,77
2020-06-17,1721,31
2020-06-18,1755,34
2020-06-19,1806,51
2020-06-20,1835,29
2020-06-21,1866,31
2020-06-22,1901,35
2020-06-23,1922,21
2020-06-24,1947,25
2020-06-25,1967,20
2020-06-26,2007,40
2020-06-27,2033,26
2020-06-28,2061,28
2020-06-29,2085,24
2020-06-30,2109,24
2020-07-01,2120,11
2020-07-02,2144,24
2020-07-03,2159,15
2020-07-04,2169,10
2020-07-05,2184,15
2020-07-06,2240,56
2020-07-07,2277,37
2020-07-08,2303,26
2020-07-09,2317,14
2020-07-10,2349,32
2020-07-11,2363,14
2020-07-12,2378,15
2020-07-13,2385,7
2020-07-14,2394,9
2020-07-15,2409,15
2020-07-16,2432,23
2020-07-17,2451,19
2020-07-18,2461,10
2020-07-19,2468,7
2020-07-20,2472,4
2020-07-21,2489,17
2020-07-22,2497,8
2020-07-23,2501,4
2020-07-24,2509,8
2020-07-25,2516,7
2020-07-26,2524,8
2020-07-27,2533,9
2020-07-28,2535,2
2020-07-29,2545,10
2020-07-30,2566,21
2020-07-31,2569,3
2020-08-01,2572,3
2020-08-02,2577,5
2020-08-03,2582,5
2020-08-04,2596,14
2020-08-05,2607,11
2020-08-06,2611,4
2020-08-07,2624,13
2020-08-08,2628,4
2020-08-09,2629,1
2020-08-10,2634,5
2020-08-11,2636,2
2020-08-12,2637,1
2020-08-13,2643,6
2020-08-14,2649,6
2020-08-15,2650,1
2020-08-16,2651,1
2020-08-17,2651,0
2020-08-18,2655,4
2020-08-19,2662,7
2020-08-20,2666,4
2020-08-21,2675,9
2020-08-22,2678,3
2020-08-23,2681,3
2020-08-24,2683,2
2020-08-25,2689,6
2020-08-26,2691,2
2020-08-27,2697,6
2020-08-28,2703,6
2020-08-29,2704,1
2020-08-30,2705,1
2020-08-31,2706,1
2020-09-01,2707,1
2020-09-02,2710,3
2020-09-03,2710,0
2020-09-04,2713,3
2020-09-05,2714,1
2020-09-06,2714,0
2020-09-07,2715,1
2020-09-08,2715,0
2020-09-09,2717,2
2020-09-10,2726,9
2020-09-11,2726,0
2020-09-12,2726,0
2020-09-13,2726,0
2020-09-14,2726,0
2020-09-15,2726,0
2020-09-16,2731,5
2020-09-17,2737,6
2020-09-18,2737,0
2020-09-19,2738,1
2020-09-20,2739,1
2020-09-21,2741,2
2020-09-22,2743,2
2020-09-23,2746,3
2020-09-24,2747,1
2020-09-25,2751,4
2020-09-26,2751,0
2020-09-27,2752,1
2020-09-28,2753,1
2020-09-29,2753,0
2020-09-30,2755,2
2020-10-01,2755,0
2020-10-02,2757,2
2020-10-03,2762,5
2020-10-04,2764,2
2020-10-05,2764,0
2020-10-06,2764,0
2020-10-07,2770,6
2020-10-08,2773,3
2020-10-09,2773,0
2020-10-10,2776,3
2020-10-11,2780,4
2020-10-12,2781,1
2020-10-13,2781,0
2020-10-14,2782,1
2020-10-15,2782,0
2020-10-16,2782,0
2020-10-17,2782,0
2020-10-18,2782,0
2020-10-19,2782,0
2020-10-20,2782,0
2020-10-21,2782,0
2020-10-22,2782,0
2020-10-23,2782,0
2020-10-24,2782,0
2020-10-25,2782,0
2020-10-26,2782,0
2020-10-27,2782,0
2020-10-28,2783,1
2020-10-29,2786,3
2020-10-30,2786,0
2020-10-31,2786,0
2020-11-01,2786,0
2020-11-02,2788,2
2020-11-03,2788,0
2020-11-04,2788,0
2020-11-05,2788,0
2020-11-06,2788,0
2020-11-07,2788,0
2020-11-08,2788,0
2020-11-09,2788,0
2020-11-10,2791,3
2020-11-11,2791,0
2020-11-12,2791,0
2020-11-13,2791,0
2020-11-14,2791,0
2020-11-15,2791,0
2020-11-16,2791,0
2020-11-17,2795,4
2020-11-18,2798,3
2020-11-19,2798,0
2020-11-20,2798,0
2020-11-21,2798,0
2020-11-22,2798,0
2020-11-23,2798,0
2020-11-24,2800,2
2020-11-25,2807,7
2020-11-26,2807,0
2020-11-27,2809,2
2020-11-28,2811,2
2020-11-29,2811,0
2020-11-30,2811,0
2020-12-01,2813,2
2020-12-02,2814,1
2020-12-03,2815,1
2020-12-04,2815,0
2020-12-05,2815,0
2020-12-06,2815,0
2020-12-07,2817,2
2020-12-08,2817,0
2020-12-09,2823,6
2020-12-10,2825,2
2020-12-11,2828,3
2020-12-12,2829,1
2020-12-13,2829,0
2020-12-14,2829,0
2020-12-15,2834,5
2020-12-16,2852,18
2020-12-17,2853,1
2020-12-18,2855,2
2020-12-19,2857,2
2020-12-20,2859,2
2020-12-21,2860,1
2020-12-22,2863,3
2020-12-23,2863,0
2020-12-24,2863,0
2020-12-25,2863,0
2020-12-26,2865,2
2020-12-27,2865,0
2020-12-28,2866,1
2020-12-29,2866,0
2020-12-30,2868,2
2020-12-31,2872,4
2021-01-01,2872,0
2021-01-02,2875,3
2021-01-03,2877,2
2021-01-04,2883,6
2021-01-05,2887,4
2021-01-06,2891,4
2021-01-07,2892,1
2021-01-08,2893,1
2021-01-09,2896,3
2021-01-10,2896,0
2021-01-11,2899,3
2021-01-12,2902,3
2021-01-13,2909,7
2021-01-14,2910,1
2021-01-15,2919,9
2021-01-16,2920,1
2021-01-17,2921,1
2021-01-18,2922,1
2021-01-19,2926,4
2021-01-20,2930,4
2021-01-21,2939,9
2021-01-22,2942,3
2021-01-23,2943,1
2021-01-24,2946,3
2021-01-25,2947,1
2021-01-26,2948,1
2021-01-27,2948,0
2021-01-28,2949,1
2021-01-29,2950,1
2021-01-30,2950,0
2021-01-31,2951,1
2021-02-01,2952,1
2021-02-02,2952,0
2021-02-03,2952,0
2021-02-04,2952,0
2021-02-05,2954,2
2021-02-06,2954,0
2021-02-07,2956,2
2021-02-08,2957,1
2021-02-09,2960,3
2021-02-10,2962,2
2021-02-11,2962,0
2021-02-12,2967,5
2021-02-13,2968,1
2021-02-14,2969,1
2021-02-15,2971,2
2021-02-16,2971,0
2021-02-17,2971,0
2021-02-18,2971,0
2021-02-19,2972,1
2021-02-20,2976,4
2021-02-21,2976,0
2021-02-22,2977,1
2021-02-23,2977,0
2021-02-24,2977,0
2021-02-25,2979,2
2021-02-26,2979,0
2021-02-27,2979,0
2021-02-28,2979,0
2021-03-01,2981,2
2021-03-02,2981,0
2021-03-03,2998,17
2021-03-04,2998,0
2021-03-05,2999,1
2021-03-06,3000,1
2021-03-07,3000,0
2021-03-08,3000,0
2021-03-09,3001,1
2021-03-10,3003,2
2021-03-11,3006,3
2021-03-12,3008,2
2021-03-13,3008,0
2021-03-14,3009,1
2021-03-15,3009,0
2021-03-16,3009,0
2021-03-17,3010,1
2021-03-18,3011,1
2021-03-19,3012,1
2021-03-20,3012,0
2021-03-21,3012,0
2021-03-22,3015,3
2021-03-23,3015,0
2021-03-24,3015,0
2021-03-25,3016,1
2021-03-26,3018,2
2021-03-27,3019,1
2021-03-28,3020,1
2021-03-29,3021,1
2021-03-30,3022,1
2021-03-31,3023,1
2021-04-01,3025,2
2021-04-02,3026,1
2021-04-03,3026,0
2021-04-04,3033,7
2021-04-05,3036,3
2021-04-06,3038,2
2021-04-07,3040,2
2021-04-08,3040,0
2021-04-09,3040,0
2021-04-10,3040,0
2021-04-11,3041,1
2021-04-12,3043,2
2021-04-13,3047,4
2021-04-14,3047,0
2021-04-15,3049,2
2021-04-16,3050,1
2021-04-17,3051,1
2021-04-18,3054,3
2021-04-19,3054,0
2021-04-20,3055,1
2021-04-21,3057,2
2021-04-22,3062,5
2021-04-23,3067,5
2021-04-24,3077,10
2021-04-25,3085,8
2021-04-26,3091,6
2021-04-27,3107,16
2021-04-28,3107,0
2021-04-29,3121,14
2021-04-30,3131,10
2021-05-01,3131,0
2021-05-02,3131,0
2021-05-03,3141,10
2021-05-04,3170,29
2021-05-05,3181,11
2021-05-06,3188,7
2021-05-07,3204,16
2021-05-08,3210,6
2021-05-09,3216,6
2021-05-10,3216,0
2021-05-11,3219,3
2021-05-12,3224,5
2021-05-13,3241,17
2021-05-14,3245,4
2021-05-15,3245,0
2021-05-16,3246,1
2021-05-17,3248,2
2021-05-18,3254,6
2021-05-19,3264,10
2021-05-20,3265,1
2021-05-21,3265,0
2021-05-22,3268,3
2021-05-23,3269,1
2021-05-24,3287,18
2021-05-25,3288,1
2021-05-26,3296,8
2021-05-27,3301,5
2021-05-28,3304,3
2021-05-29,3312,8
2021-05-30,3313,1
2021-05-31,3323,10
2021-06-01,3327,4
2021-06-02,3342,15
2021-06-03,3359,17
2021-06-04,3360,1
2021-06-05,3362,2
2021-06-06,3366,4
2021-06-07,3373,7
2021-06-08,3373,0
2021-06-09,3375,2
2021-06-10,3378,3
2021-06-11,3382,4
2021-06-12,3390,8
2021-06-13,3396,6
2021-06-14,3402,6
2021-06-15,3402,0
2021-06-16,3405,3
2021-06-17,3407,2
2021-06-18,3408,1
2021-06-19,3410,2
2021-06-20,3410,0
2021-06-21,3413,3
2021-06-22,3417,4
2021-06-23,3419,2
2021-06-24,3420,1
2021-06-25,3425,5
2021-06-26,3432,7
2021-06-27,3436,4
2021-06-28,3440,4
2021-06-29,3445,5
2021-06-30,3454,9
2021-07-01,3459,5
2021-07-02,3467,8
2021-07-03,3475,8
2021-07-04,3477,2
2021-07-05,3485,8
2021-07-06,3485,0
2021-07-07,3497,12
2021-07-08,3514,17
2021-07-09,3519,5
2021-07-10,3536,17
2021-07-11,3545,9
2021-07-12,3555,10
2021-07-13,3581,26
2021-07-14,3593,12
2021-07-15,3599,6
2021-07-16,3609,10
2021-07-17,3613,4
2021-07-18,3616,3
2021-07-19,3621,5
2021-07-20,3627,6
2021-07-21,3633,6
2021-07-22,3635,2
2021-07-23,3645,10
2021-07-24,3648,3
2021-07-25,3658,10
2021-07-26,3662,4
2021-07-27,3667,5
2021-07-28,3678,11
2021-07-29,3686,8
2021-07-30,3688,2
2021-07-31,3695,7
2021-08-01,3701,6
2021-08-02,3708,7
2021-08-03,3718,10
2021-08-04,3728,10
2021-08-05,3739,11
2021-08-06,3752,13
2021-08-07,3756,4
2021-08-08,3774,18
2021-08-09,3779,5
2021-08-10,3799,20
2021-08-11,3817,18
2021-08-12,3831,14
2021-08-13,3844,13
2021-08-14,3849,5
2021-08-15,3860,11
2021-08-16,3878,18
2021-08-17,3900,22
2021-08-18,3915,15
2021-08-19,3922,7
2021-08-20,3933,11
2021-08-21,3945,12
2021-08-22,3955,10
2021-08-23,3971,16
2021-08-24,3983,12
2021-08-25,4012,29
2021-08-26,4042,30
2021-08-27,4067,25
2021-08-28,4082,15
2021-08-29,4112,30
2021-08-30,4139,27
2021-08-31,4164,25
2021-09-01,4204,40
2021-09-02,4257,53
2021-09-03,4334,77
2021-09-04,4360,26
2021-09-05,4386,26
2021-09-06,4433,47
2021-09-07,4474,41
2021-09-08,4535,61
2021-09-09,4583,48
2021-09-10,4620,37
2021-09-11,4642,22
2021-09-12,4714,72
2021-09-13,4746,32
2021-09-14,4778,32
2021-09-15,4819,41
2021-09-16,4873,54
2021-09-17,4919,46
2021-09-18,4975,56
2021-09-19,5070,95
2021-09-20,5118,48
2021-09-21,5198,80
2021-09-22,5238,40
2021-09-23,5281,43
2021-09-24,5324,43
2021-09-25,5336,12
2021-09-26,5391,55
2021-09-27,5434,43
2021-09-28,5469,35
2021-09-29,5551,82
